Car Name,Brand,Model Name,Model Year,KM Driven,Fuel Type,Transmission,Location,Price,EMI
2021 Hyundai Creta SX 1.4 Turbo 7 DCT,Hyundai,2021  Creta SX 1.4 Turbo 7 DCT,2021,"34,258 km",Petrol,Automatic,"Hankimpet, Hyderabad",Rs. 14.62 Lakh,"Rs. 26,313"
2016 Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016  Creta 1.6 SX Plus Petrol,2016,"54,398 km",Petrol,Manual,"A P E R L, Hyderabad",Rs. 7.85 Lakh,"Rs. 14,128"
2019 Maruti Suzuki Baleno Zeta 1.,Maruti,2019  Suzuki Baleno Zeta 1.,2019,"263,418 km",Petrol,Manual,"A P E R L, Hyderabad",Rs. 6.29 Lakh,"Rs. 11,320"
2020 Kia Sonet GTX Plus 1.5 AT [2020-2021],Kia,2020  Sonet GTX Plus 1.5 AT [2020-2021],2020,"77,839 km",Diesel,Automatic,"Hankimpet, Hyderabad",Rs. 10.21 Lakh,"Rs. 18,376"
2018 Maruti Suzuki Baleno Zeta 1.,Maruti,2018  Suzuki Baleno Zeta 1.,2018,"268,169 km",Petrol,Manual,"A P E R L, Hyderabad",Rs. 5.35 Lakh,"Rs. 9,629"
2018 Renault Kwid 1.0 RXT AMT Opt [2016-2019],Renault,2018  Kwid 1.0 RXT AMT Opt [2016-2019],2018,"69,342 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 3.5 Lakh,"Rs. 6,299"
2022 Tata Nexon XM (S) Diesel [2020-2023],Tata,2022  Nexon XM (S) Diesel [2020-2023],2022,"43,791 km",Diesel,Manual,"Hankimpet, Hyderabad",Rs. 8.65 Lakh,"Rs. 15,568"
2017 Maruti Suzuki Baleno Delta 1.,Maruti,2017  Suzuki Baleno Delta 1.,2017,"276,849 km",Petrol,Manual,"Hankimpet, Hyderabad",Rs. 4.47 Lakh,"Rs. 8,045"
2022 Tata Nexon XMA Plus (S),Tata,2022  Nexon XMA Plus (S),2022,"28,714 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 8.67 Lakh,"Rs. 15,604"
2021 Kia Sonet HTX Plus 1.5 [2020-2021],Kia,2021  Sonet HTX Plus 1.5 [2020-2021],2021,"41,826 km",Diesel,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 10.67 Lakh,"Rs. 19,204"
2022 Kia Sonet HTX 1.5 AT,Kia,2022  Sonet HTX 1.5 AT,2022,"64,386 km",Diesel,Automatic,"Old MLA Quarters, Hyderabad",Rs. 10.64 Lakh,"Rs. 19,150"
2019 Tata Nexon XZA Plus Petrol Dual Tone,Tata,2019  Nexon XZA Plus Petrol Dual Tone,2019,"77,808 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 8.15 Lakh,"Rs. 14,668"
2020 MG Hector Sharp 2.0 Diesel [2019-2020],MG,2020  Hector Sharp 2.0 Diesel [2019-2020],2020,"72,249 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2020 Tata Altroz XZ Petrol [2020-2023],Tata,2020  Altroz XZ Petrol [2020-2023],2020,"53,680 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 6 Lakh,"Rs. 10,799"
2022 Nissan Magnite XV Turbo CVT [2020],Nissan,2022  Magnite XV Turbo CVT [2020],2022,"43,792 km",Petrol,Automatic,"Old MLA Quarters, Hyderabad",Rs. 6.99 Lakh,"Rs. 12,580"
2018 BMW 7-Series 730Ld,BMW,2018  7-Series 730Ld,2018,"24,200 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 72 Lakh,Rs. 1.30
2023 Toyota Vellfire VIP – Executive Lounge,Toyota,2023  Vellfire VIP – Executive Lounge,2023,"19,800 km",Hybrid,Manual,"Attapur, Hyderabad",Rs. 1.22 Crore,Rs. 2.20
2023 Maruti Suzuki Baleno Alpha 1.,Maruti,2023  Suzuki Baleno Alpha 1.,2023,"216,873 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 8.78 Lakh,"Rs. 15,802"
